SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1921 Jefferson St #107,San Francisco,CA,94123,1130000,2,2.0,Marina,826,,1991,3,1368,566,Active,September-12-2021 01:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/1921-Jefferson-St-94123/unit-107/home/1050567,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40966214,N,Y,37.8044607,-122.4440256
MLS Listing,,Single Family Residential,449 Prentiss St,San Francisco,CA,94110,1450000,2,2.0,San Francisco,1639,1750,1900,3,885,,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/449-Prentiss-St-94110/home/1583519,San Francisco MLS,421592531,N,Y,37.7375934,-122.4120282
MLS Listing,,Condo/Co-op,338 Potrero Ave #304,San Francisco,CA,94103,354457,2,2.0,San Francisco,832,11250,2016,3,426,686,Active,September-15-2021 05:00 PM,September-15-2021 07:00 PM,http://www.redfin.com/CA/San-Francisco/338-Potrero-Ave-94103/unit-304/home/144017334,San Francisco MLS,421592477,N,Y,37.7651398,-122.4077664
MLS Listing,,Condo/Co-op,419 Laguna St #2,San Francisco,CA,94102,1495000,2,1.5,San Francisco,1300,2125,1895,3,1150,385,Active,September-12-2021 02:00 PM,September-12-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/419-Laguna-St-94102/unit-2/home/872641,San Francisco MLS,421564086,N,Y,37.7751652,-122.4262814
MLS Listing,,Condo/Co-op,435 China Basin St #540,San Francisco,CA,94158,1350000,2,,San Francisco,1124,122891,2012,3,1201,763,Active,,,http://www.redfin.com/CA/San-Francisco/435-China-Basin-St-94158/unit-540/home/40629359,San Francisco MLS,421592521,N,Y,37.7718864,-122.3885728
MLS Listing,,Condo/Co-op,201 Folsom St Unit 34B,San Francisco,CA,94105,5388000,4,3.0,San Francisco,2683,75406,2016,3,2008,1480,Active,,,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-34B/home/144064155,San Francisco MLS,421591398,N,Y,37.7891848,-122.3919008
MLS Listing,,Condo/Co-op,156 Lombard St #29,San Francisco,CA,94111,1098000,2,2.5,San Francisco,1274,94533,1975,3,862,1306,Active,September-12-2021 01:00 PM,September-12-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/156-Lombard-St-94111/unit-29/home/1914414,San Francisco MLS,421592196,N,Y,37.80445,-122.404178
MLS Listing,,Condo/Co-op,1352 Mcallister St,San Francisco,CA,94115,1350000,3,1.0,San Francisco,1476,3712,1905,3,915,350,Active,September-12-2021 11:00 AM,September-12-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1352-McAllister-St-94115/home/854216,San Francisco MLS,421588611,N,Y,37.778594,-122.434312
MLS Listing,,Single Family Residential,565 Bowdoin St,San Francisco,CA,94134,1098000,5,2.0,San Francisco,2629,3358,1938,3,418,,Active,,,http://www.redfin.com/CA/San-Francisco/565-Bowdoin-St-94134/home/1752156,San Francisco MLS,421592401,N,Y,37.7286681,-122.4114972
MLS Listing,,Single Family Residential,612 Lisbon St,San Francisco,CA,94112,1158000,3,3.0,San Francisco,1800,3746,1908,3,643,,Active,September-12-2021 12:00 PM,September-12-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/612-Lisbon-St-94112/home/790360,San Francisco MLS,421592050,N,Y,37.7187649,-122.4363506
